,slide,TILs,Stromal,Epithelial,fold
TCGA-AR-A0TU-DX1_left-89903_top-23884_bottom-25129_right-91148.png,TCGA-AR-A0TU-DX1,0.16666666666666666,0.5,0.0,2
TCGA-AR-A0TU-DX1_left-89643_top-23896_bottom-25141_right-90888.png,TCGA-AR-A0TU-DX1,0.05263157894736842,0.05263157894736842,0.3157894736842105,2
TCGA-AR-A0TU-DX1_left-88624_top-23113_bottom-24358_right-89869.png,TCGA-AR-A0TU-DX1,0.0,0.75,0.0,2
TCGA-AR-A0TU-DX1_left-90153_top-24126_bottom-25371_right-91398.png,TCGA-AR-A0TU-DX1,0.05555555555555555,0.16666666666666666,0.5555555555555556,2
TCGA-D8-A143-DX1_left-58588_top-19753_bottom-20992_right-59827.png,TCGA-D8-A143-DX1,0.6944444444444444,0.0,0.0,0
TCGA-D8-A143-DX1_left-58084_top-20002_bottom-21241_right-59322.png,TCGA-D8-A143-DX1,0.5,0.16666666666666666,0.0,0
TCGA-D8-A143-DX1_left-57057_top-22556_bottom-23795_right-58295.png,TCGA-D8-A143-DX1,0.08823529411764706,0.058823529411764705,0.5588235294117647,0
TCGA-D8-A143-DX1_left-58339_top-20005_bottom-21244_right-59578.png,TCGA-D8-A143-DX1,0.6,0.0,0.0,0
TCGA-D8-A143-DX1_left-57812_top-20007_bottom-21246_right-59050.png,TCGA-D8-A143-DX1,0.39285714285714285,0.21428571428571427,0.0,0
TCGA-D8-A143-DX1_left-58591_top-19492_bottom-20731_right-59829.png,TCGA-D8-A143-DX1,0.9117647058823529,0.029411764705882353,0.0,0
TCGA-D8-A143-DX1_left-56025_top-22574_bottom-23813_right-57264.png,TCGA-D8-A143-DX1,0.058823529411764705,0.0,0.5588235294117647,0
TCGA-D8-A143-DX1_left-57064_top-20532_bottom-21771_right-58303.png,TCGA-D8-A143-DX1,0.26666666666666666,0.3333333333333333,0.0,0
TCGA-D8-A1JG-DX1_left-18255_top-69739_bottom-70978_right-19494.png,TCGA-D8-A1JG-DX1,0.7894736842105263,0.02631578947368421,0.0,1
TCGA-D8-A1JG-DX1_left-15699_top-75367_bottom-76606_right-16938.png,TCGA-D8-A1JG-DX1,0.6956521739130435,0.21739130434782608,0.0,1
TCGA-D8-A1JG-DX1_left-20059_top-74588_bottom-75827_right-21297.png,TCGA-D8-A1JG-DX1,0.0,0.0,0.9090909090909091,1
TCGA-D8-A1JG-DX1_left-16976_top-69223_bottom-70462_right-18215.png,TCGA-D8-A1JG-DX1,0.6666666666666666,0.0,0.0,1
TCGA-D8-A1JG-DX1_left-18500_top-70781_bottom-72020_right-19739.png,TCGA-D8-A1JG-DX1,0.0,0.0,1.0,1
TCGA-D8-A1JG-DX1_left-19802_top-72547_bottom-73786_right-21041.png,TCGA-D8-A1JG-DX1,0.0,0.8235294117647058,0.0,1
TCGA-D8-A1JG-DX1_left-16465_top-72043_bottom-73282_right-17704.png,TCGA-D8-A1JG-DX1,0.25,0.4204545454545454,0.0,1
TCGA-D8-A1JG-DX1_left-20830_top-69744_bottom-70983_right-22069.png,TCGA-D8-A1JG-DX1,0.0,0.625,0.375,1
TCGA-A2-A0YE-DX1_left-61785_top-35072_bottom-36299_right-63012.png,TCGA-A2-A0YE-DX1,0.0,0.0,1.0,1
TCGA-A2-A0YE-DX1_left-61787_top-35834_bottom-37061_right-63013.png,TCGA-A2-A0YE-DX1,0.8888888888888888,0.041666666666666664,0.027777777777777776,1
TCGA-A2-A0YE-DX1_left-61274_top-33781_bottom-35008_right-62500.png,TCGA-A2-A0YE-DX1,0.4878048780487805,0.43902439024390244,0.0,1
TCGA-A2-A0YE-DX1_left-61799_top-36095_bottom-37322_right-63025.png,TCGA-A2-A0YE-DX1,0.8777777777777778,0.022222222222222223,0.044444444444444446,1
TCGA-A2-A0YE-DX1_left-61539_top-34047_bottom-35274_right-62765.png,TCGA-A2-A0YE-DX1,0.475,0.325,0.175,1
TCGA-A2-A0YE-DX1_left-62050_top-35829_bottom-37056_right-63277.png,TCGA-A2-A0YE-DX1,0.9080459770114943,0.06896551724137931,0.0,1
TCGA-A2-A0YE-DX1_left-60761_top-34810_bottom-36037_right-61988.png,TCGA-A2-A0YE-DX1,0.22727272727272727,0.5909090909090909,0.18181818181818182,1
TCGA-A2-A0YE-DX1_left-60772_top-36863_bottom-38089_right-61999.png,TCGA-A2-A0YE-DX1,0.14814814814814814,0.5925925925925926,0.2222222222222222,1
TCGA-A2-A0YE-DX1_left-61539_top-36348_bottom-37574_right-62765.png,TCGA-A2-A0YE-DX1,0.8205128205128205,0.15384615384615385,0.0,1
TCGA-A2-A0YE-DX1_left-60001_top-36093_bottom-37319_right-61227.png,TCGA-A2-A0YE-DX1,0.08333333333333333,0.3333333333333333,0.5416666666666666,1
TCGA-A2-A0YE-DX1_left-60515_top-34037_bottom-35264_right-61741.png,TCGA-A2-A0YE-DX1,0.06,0.8,0.06,1
